Account,Posted dt.,Doc dt.,Doc,Memo/Description,Department,JNL,Debit,Credit,Balance
1001,1001 - Bank of America- Checking -Acct. 6488 (Balance forward As of 07/01/2020) ,,,,,,,,624904.4
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,143.49,624760.91
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,143.49,624617.42
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,191.32,624426.1
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,239.15,624186.95
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,388.9,623798.05
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,721.04,623077.01
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,955.49,622121.52
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,1294.39,620827.13
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,2081.72,618745.41
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,2108.99,616636.42
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,2136.26,614500.16
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,2136.26,612363.9
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,3670.28,608693.62
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,5595.47,603098.15
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,10970.14,592128.01
1001,7/1/2020,7/1/2020,BCBS -July,BCBS- July - BCBS Health Insurance-July -BCBS Health Insurance,,HJ,,14617.64,577510.37
1001,7/1/2020,7/1/2020,Eversource,Bill.Com Import--,,HJ,,0.66,577509.71
1001,7/2/2020,7/2/2020,1.94E+12,Blue 20/20 Vision Insurance -July Invoice-Blue 20/20 Vision Insurance -July Invoice,,HJ,,26.88,577482.83
1001,7/2/2020,7/2/2020,1.94E+12,Blue 20/20 Vision Insurance -July Invoice-Blue 20/20 Vision Insurance -July Invoice,,HJ,,55.67,577427.16
1001,7/2/2020,7/2/2020,1.94E+12,Blue 20/20 Vision Insurance -July Invoice-Blue 20/20 Vision Insurance -July Invoice,,HJ,,109.42,577317.74
1001,7/2/2020,7/2/2020,1.94E+12,Blue 20/20 Vision Insurance -July Invoice-Blue 20/20 Vision Insurance -July Invoice,,HJ,,296.94,577020.8
1001,7/2/2020,7/2/2020,Impact Catalysts,Bill.Com Import--,,HJ,,10000,567020.8
1001,7/2/2020,7/2/2020,Media Cause,Bill.Com Import--,,HJ,,19949,547071.8
1001,7/2/2020,7/2/2020,TASC,TASC withholding-TASC withholding,,HJ,,787.98,546283.82
1001,7/6/2020,7/6/2020,7062020,BofA CC Transaction June Payment-BofA CC Transaction June Payment,,HJ,,29.99,546253.83
