Funding Source ID,Funding Source name,Funding Source type ID,
FS101,Not Applicable,,
FS102,AmeriCorps National (ACY1),Federal Grants,
FS103,AmeriCorps National (ACY2),Federal Grants,
FS104,AmeriCorps National,Federal Grants,
FS105,Angell Family Foundation- CPS,Grants and Contributions,
FS106,A Better Chicago,Grants and Contributions,
FS107,"The School Board of Broward County, Florida",Program Service Income,
FS108,The College Board,Program Service Income,
FS109,Citadel Foundation,Grants and Contributions,
FS110,Clark Foundation,Grants and Contributions,
FS111,CME Foundation- CPS,Grants and Contributions,
FS112,Comcast,Grants and Contributions,
FS113,Chicago Public Schools,Program Service Income,
FS114,CPS- OPTION SCHOOL,Program Service Income,
FS115,Crown Foundation- CPS,Grants and Contributions,
FS116,Chan Zuckerberg Initiative,Grants and Contributions,
FS117,AERDF (EF+MATH),Grants and Contributions,
FS118,Finnegan Family Foundation,Grants and Contributions,
FS119,Lloyd A. Fry Foundation,Grants and Contributions,
FS120,Gates- Blended Learning,Grants and Contributions,
FS121,Gates- M&A,Grants and Contributions,
FS122,Gates- NYC,Grants and Contributions,
FS123,Gates- Online Model,Grants and Contributions,
FS124,Gates- Build (G-SSM),Grants and Contributions,
FS125,Gates-Woot Math,Grants and Contributions,
FS126,Gates,Grants and Contributions,
FS127,General,Program Service Income,
FS128,IMC Chicago Charitable Foundation,Grants and Contributions,
FS129,New Profit Inc.,Grants and Contributions,
FS130,New York City DOE,Grants and Contributions,
FS131,Overdeck Family Foundation,Grants and Contributions,
FS132,PAYCHECK PROTECTION PROGRAM -CARES ACT,Federal Grants,
FS133,Sagan Family Fund,Grants and Contributions,
FS134,Unorthodox Philanthropy,Grants and Contributions,
FS135,Walton Family Foundation (Technology),Grants and Contributions,
FS136,Weinberg Foundation,Grants and Contributions,
FS137,Woot Math Acquisition,Platform Income,
FS138,Blue Meridian,Grants and Contributions,
FS140,NSVF,Program Service Income,
FS141,Anonymous,Grants and Contributions,
FS142,Providence Public School District,Program Service Income,
FS143,Charleston County School District,Program Service Income,
FS144,District of Columbia Public Schools,Program Service Income,
FS145,Marriott Foundation (DC),Program Service Income,
FS146,AmeriCorps SC Florida,Federal Grants,
FS147,AmeriCorps SC Rhode Island,Federal Grants,
FS149,Camelot Education-University of Chicago EdLabs,Program Service Income,
FS150,Carnegie Mellon University,Program Service Income,
FS151,Chicago Beyond via UChi UrbLabs,Program Service Income,
FS152,Chillicothe R-II School,Platform Income,
FS153,Fullerton School Dis,Platform Income,
FS154,Glendale Unified School,Program Service Income,
FS155,Great Oaks Legacy Charter School,Platform Income,
FS156,The Bridge  Learning Interventions,Program Service Income,
FS157,"Hostos Community College, CUNY",Program Service Income,
FS158,MGSD Online Academy,Program Service Income,
FS159,Rotterdam Tutoring Pilot Program,Program Service Income,
FS160,San Leandro Unified School,Program Service Income,
FS161,UnivofChicago Charter School Corp,Program Service Income,
FS162,UChicago Urban Labs Research Grant,Program Service Income,
FS163,Unionville- Chadds Ford School District,Platform Income,
FS164,Stichting De Verre Bergen,Program Service Income,
FS165,Matthew T. Vettel,Program Service Income,
FS166,Youth Connection Charter Schools-University of Chicago EdLabs,Program Service Income,
FS167,LCJ Summit Middle School,Platform Income,
FS168,Singapore American Schools,Platform Income,
FS169,New Schools Venture Fund (Programs),Grants and Contributions,
FS170,Thea Bowman Leadership Academy,Platform Income,
FS171,The Lab School of Washington,Platform Income,
FS172,Jewish Federation of Metropolitan Chicago,Individual Giving,
FS173,"Argo AI, LLC",Individual Giving,
